"","voix_expr_2012_PS","voix_expr_2017_PS","voix_expr_2022_PS","voix_expr_2012_LR","voix_expr_2017_LR","voix_expr_2022_LR"
"267",17.9452096913049,4.03601463094382,1.35130642909381,29.9963104169229,19.5516928752306,4.75367329299914
"268",19.3084471211256,4.12408169130458,1.46958901982101,27.5271273557967,18.2781599698238,3.88072450544544
"269",25.9047978843974,4.67762583057322,1.0774186382317,23.333962976955,14.3966025237234,2.97678551593913
"270",23.0569546140715,4.75547268429475,1.28609333541439,23.8794599398993,15.5408083863106,3.21055095988762
"271",30.6976120603614,6.05146763168476,1.56948065968012,19.0096679527477,11.4085552565649,2.29526166315125
"272",24.2233608756304,5.2736292012627,1.54562955109784,28.3895804270845,19.3954426081651,3.88918338308735
"273",32.9861111111111,6.53442240373396,1.93087903831706,22.189465408805,16.5994837523426,4.41960931630353
"274",32.3425366695427,6.50989478957916,1.91212986267124,22.7955133735979,17.8231462925852,4.76174388946133
"275",34.7695390781563,10.4284432480933,1.98671006238134,20.8507924940791,13.5554060116644,2.52463610885092
"276",33.5858166729536,8.98980394576501,2.05040299319279,20.6307053941909,13.4785358404418,2.63058133210265
"277",27.6005047773571,4.70246820355646,1.08795661086988,22.7981861297167,14.045218318305,2.8457974851092
"278",25.0741302276905,6.40568932341775,1.60190260104151,32.4831278260053,23.7258827812159,4.59111846151743
"279",26.786412066585,5.84210726367403,1.63005811163832,25.3549378695913,16.9321018156018,3.42538785520073
"280",24.7052081094634,5.19968826481084,1.67329679806382,32.2129092341858,23.7698081734779,4.59565471388433
"281",26.9972046491099,5.78566732412886,1.26493460931257,30.6238046196852,21.9391482211995,4.13978599411386
"282",36.8207116503033,6.71163651130262,1.09819275670256,18.3707502136619,10.9055633262645,1.76904528851434
"283",23.5296753188566,6.30680494057329,1.31837220444815,38.5629797783685,30.2027499417385,6.2951113584025
"284",26.4539434075858,5.25039828219159,1.21973929236499,28.0450675152662,18.0802798365311,3.04283054003724
"285",30.2124658379617,7.79486879271737,2.15453651340054,24.6245849128684,16.8542450275879,3.17648143594787
"286",26.0859547592264,4.11860448658977,1.08395772715623,22.7084829838852,15.441228504706,3.30614644736247
"287",32.2010571165024,5.74006998588004,1.56527986861913,18.5991010117278,10.7572595002763,2.23244833721089
"288",27.1787575856772,4.52878878853303,1.56582360125705,26.273512451842,17.6105369393308,4.05659471105683
"289",26.4794330692189,4.69436885074314,1.55590899661158,26.9775894981826,19.121572116391,4.04951248184773
"290",28.4358419816091,4.84567252502061,1.19823848701055,16.1861492741672,9.29198531908357,1.84173693373844
"291",28.6453645364536,5.12487133647543,1.32202013954657,21.1953887696462,14.3109955396645,2.86630974699936
"292",27.0724147647225,4.12005101153556,1.2873786712245,25.0704423781347,16.9048171120515,3.72571464412839
"293",28.6899440880078,4.95408817770576,1.12321307011573,17.1496429219376,9.66511376679495,1.82365375658343
"294",25.3093590585383,4.3972417616688,0.79533307969636,19.9656548310521,11.3049655220209,1.92039422432379
"295",26.0905820797907,4.59335852058063,1.11972898279397,24.9803793328973,16.5672433220654,3.07390567888027
"296",25.2940994365674,4.5778087927425,0.999570432541387,25.1640765277692,15.8595022098162,3.83471565938605
"297",22.1228470038372,4.18007346450639,0.945597445658848,27.5843166671475,17.4819898060879,4.09400712268206
"298",29.381665409889,5.42496775118246,1.01156898365044,22.3670508815397,13.2094739859538,3.1456162156994
"299",21.2259414225941,4.39439303211758,0.937827149005467,34.1018131101813,25.2204681545999,5.96574386413865
"300",26.3157894736842,4.94947521710561,1.04750304506699,25.2029062555378,17.0718712816779,4.15628220743933
"301",23.8295919927949,4.36541665250059,1.09577776983304,27.182354240658,18.5207221296706,4.54220442601266
"302",27.6916857566366,5.15868278790566,1.22875723062552,22.6047702465975,13.4108698988728,3.51201810800129
"303",24.5788508768896,5.73341514473399,1.7305463410735,29.949150783493,25.0270699487476,5.52735702010311
"304",21.0387527839644,4.25623067466379,1.14928400221253,32.1300668151448,27.2342882688224,6.48597709626534
"305",26.9850027586899,5.6128092136449,1.80631538535368,27.0000501579977,22.1123966361769,5.5782704674153
"306",25.217056883471,4.22398599496102,1.3477223616992,26.660995023716,18.3520422043742,4.30921422415408
"307",30.264238371752,6.39470292849842,1.81719764924219,25.2756759927268,17.8968730095247,3.976183111661
"308",30.7554878901334,5.58869804641406,1.33467507017637,14.8720657459336,7.68650845679822,1.47237964090885
"309",25.9826037762534,4.12396221013455,1.30394611349547,31.4221059331023,22.158602920126,5.39163090128755
"310",32.3087725331728,5.767241124479,1.78163184864013,22.822629180638,15.3078719441899,3.0003941663382
"311",28.800709734656,4.8748921484038,1.67290643136491,24.8850713767239,17.8494391716997,4.20314261457739
"312",29.2056542764758,4.79769291269772,1.30497376120373,21.423870432369,13.3749890762912,3.31119676775182
"313",31.4793140990746,5.03387108038271,1.65663325515737,21.2098530212303,14.1713806830086,3.32521697563599
"314",28.1814981920579,5.03867797544719,1.35505974194208,24.0120316149883,16.3842174399559,3.33225383081355
"315",31.1115720232892,5.67156522526328,1.29719418170257,17.0061778693018,9.91128277859923,1.98076464509975
"316",28.7514937688499,5.3089944343513,1.09477397478979,15.7912706993683,8.21582028433832,1.65128407864126
"317",32.1055182441321,5.56292699452318,1.64495928027519,15.4289275081354,8.48907458641522,1.8507629435804
"318",37.4608368187922,8.57893201050481,2.43806527723162,19.4156776194959,14.3257789449794,4.10604273168174
"319",32.1897158170956,7.03219155207713,2.48462378571018,20.9605828820278,15.8982996703887,5.07271368626775
"320",31.4884932085298,7.70413588940304,2.30330442799113,26.5001055668942,21.5258816428592,6.35245311284607
"321",34.9049477527383,7.27053859197225,2.36258746178544,19.675185698099,14.9617510387408,4.37468820752907
"322",30.0659138273639,5.93793025047683,1.95670799314585,20.6853099403868,15.2938650229256,4.39219836710009
"323",31.6620037668916,8.43715561200665,2.5323865996903,22.8884378371459,16.8593682873527,4.04879706915436
"324",29.8233270794246,7.38163290667329,2.52245657379024,21.4915572232645,16.8836212253014,4.05972152323436
"325",32.4817032601464,8.27931464743297,2.60361562169373,19.7826569084054,13.8820414498311,3.26601959611758
"326",29.4713075629233,7.28450907041901,2.32187280729731,21.1295137363054,15.5879728904819,4.15098552018881
"327",30.2733468134502,8.03489633983059,2.22216315355785,25.3890511495544,19.8455315490536,4.23699529518088
