"","moyenne","ecart_type"
"1",10.66779924659,11.8667429336847
"2",9.56773250361143,11.1479794096314
"3",10.047811275219,11.3501909006228
"4",9.31175800762968,10.7427160725099
"5",9.79034038127072,11.4436348933972
"6",11.5248917308611,15.0648297987068
"7",11.1772340535236,14.7810154955092
"8",11.0315283916397,14.6078174035449
"9",11.0101812116227,14.5107553743386
"10",9.52219340107108,12.1915275953307
"11",12.6685146625414,15.5123980496325
"12",12.8491648641719,15.8478309978698
"13",11.3582362667024,13.9807459358359
"14",10.5010230947696,12.6554374841419
"15",10.0405073874296,12.020303723231
"16",10.9927459931959,12.5056095001721
"17",10.3447843614254,11.7209427823409
"18",9.3084977215606,11.3670737794733
"19",8.063006296377,9.92149773689337
"20",9.17660199929627,11.4697675354499
"21",6.87247797027809,8.64110848697172
"22",8.13940094166867,10.424756397405
"23",7.01440078147462,8.84775074803352
"24",7.91421965565238,9.31168440992493
"25",7.10945490493019,9.2856800661908
"26",7.59394370527825,9.42972067697282
"27",11.8926710663329,13.3980383653105
"28",10.9542253914717,12.2288564632711
"29",11.3634869979139,12.892634637551
"30",10.9459088578085,13.9256646957999
"31",13.2138411067383,16.931768100977
"32",11.0984712818918,14.3329858306031
"33",16.1108558876404,17.5402500695195
"34",14.4145126927178,15.9098312342807
"35",8.36681452978106,10.6143893722058
"36",9.13334500285129,11.379964489029
"37",10.5824407397142,13.3732546236751
"38",13.7531855114031,15.6740693324364
"39",11.904778462951,13.8666743076287
"40",13.8919940401224,15.2736989699627
"41",11.9834278728626,13.6541866866795
"42",14.4438502146533,17.0116932799566
"43",11.8834142746475,13.1530180707641
"44",9.41949977213455,12.08317135114
"45",9.18010728339239,10.8225482110945
"46",11.1313767827596,14.9957478132487
"47",16.3455314752637,20.0658942121774
"48",11.7891543531665,13.4356619719743
"49",9.8991967714787,12.390591688956
"50",14.7909466027263,20.6978005984277
"51",9.27220854126057,11.5796825944956
"52",8.52928506435678,10.7065422719355
"53",8.79183152273725,10.8841562929853
"54",9.6888698973006,11.9612111832062
"55",8.75911148062428,11.3863027000631
"56",9.48593266210214,12.3076236598213
"57",10.8666292633922,12.9834156022966
"58",8.36652873611485,10.2366837426738
"59",9.92155186265059,12.2935529159747
"60",15.0430937877008,16.3391019979714
"61",15.8791914075813,18.2453473540676
"62",11.3835727136067,13.7566885216562
"63",10.5283539937167,12.6633616675666
"64",11.8972691034741,13.7349883284758
"65",12.4646383112056,14.6574330032247
"66",13.9239776496031,17.1118760016141
"67",11.3130906101663,14.2476207232943
"68",15.1984956849328,17.8594816812181
"69",12.4139323931921,15.1916035010847
"70",13.6201104096038,16.9059852891861
"71",14.1037304231496,16.5578179924152
"72",12.845682943021,15.4935760327902
"73",12.5265915566548,14.9296883185455
"74",10.622296690695,13.0484152460199
"75",9.97836251191,12.1650164272719
"76",11.1066501569307,13.1670634097458
"77",11.3425674225573,13.9423522590953
"78",11.2357020699895,13.6508891573978
"79",17.9798040871555,23.2331105344015
"80",16.5558055833713,21.357709163797
"81",11.605924805443,15.8287395497035
"82",10.8815181191643,15.5369789433677
"83",12.3014102672996,16.7693599634979
"84",10.1843004977252,13.310187055744
"85",11.032343370326,11.575215836664
"86",14.2024943030126,17.641787486626
"87",13.3476563209455,15.8176827255273
"88",12.6796805122005,16.3124195875238
"89",13.7316439677035,18.3540599634592
"90",15.0147696821518,16.1832480431621
"91",14.5553794136589,17.0880113319123
"92",14.1910966475555,16.741939163174
"93",13.3212940986396,13.4781512980074
"94",15.0186522099091,15.9973448374554
"95",14.6665587430038,16.7211398103321
"96",12.7868059515637,14.5361872752142
"97",11.8958734526816,14.3437461028482
"98",11.505867718449,12.8652461187749
"99",12.6027079834825,13.9340659492518
"100",9.60764708137557,9.13671239010248
"101",12.4715524463773,13.988326516088
"102",10.359149166341,12.3756146374421
"103",10.2843465469664,11.9041753187515
"104",10.0266544594605,12.4535095880351
"105",10.7140541205518,11.2419019095862
"106",10.4630138499609,12.570910575539
"107",10.8000796812123,11.637071067382
"108",11.5804204487904,13.536089038638
"109",9.9594805647931,12.2969875651195
"110",10.9615012906987,13.5437847616615
"111",10.8013879122559,13.8627629342202
"112",11.1682423669318,13.3334258496248
"113",9.81372190323864,11.6545112709197
"114",13.9375849121223,17.6751076611964
"115",14.6839893303885,19.838732452868
"116",13.0562205624756,16.9012792826409
"117",13.6611824931357,19.0914414732187
"118",15.4025876676042,15.6768619621066
"119",16.2025667067203,15.0089952480647
"120",15.3751845603622,15.4496542373316
"121",15.4354781933539,15.5257594299044
"122",12.4355340096565,10.9035591460124
"123",11.1220367481031,9.29265857391343
"124",11.8609073040143,10.8978546972154
"125",13.4341006985203,13.2567446282319
"126",10.5336493895755,12.9977124541097
"127",9.1788624936817,11.2777000510299
"128",9.78768267125635,11.5615729271645
"129",10.0757803270699,12.2664445779662
"130",11.1770884557292,12.9799957458733
"131",10.3374640253703,11.8356983165512
"132",15.5468657115514,16.6038770125031
"133",14.6935004585977,16.1551678123429
"134",13.5297384256299,14.3573568795451
"135",16.3302043388661,17.0006531102828
"136",12.8677966120541,14.8336574490543
"137",14.9451076536589,16.6754569509898
"138",13.613849903876,15.0400398961458
"139",14.5805231944034,16.0089327013247
"140",16.2439726275663,17.7308475703309
"141",14.8051701852686,16.1755683037409
"142",15.191779842395,16.1682507354837
"143",13.5813230328043,14.3940230621958
"144",13.5990117990682,15.1263093698577
"145",15.7578974928809,16.0929499640767
"146",17.0176811388684,18.3428802342584
"147",16.1003675880463,18.7204970330944
"148",12.6381416569633,15.1358286992556
"149",15.1214573648922,16.8585181588997
"150",16.2203938024832,17.9986910891617
"151",10.5819999985921,12.5470625111971
"152",13.8284543845348,15.884992398514
"153",12.0858958528369,14.1324453987951
"154",12.1357288236494,14.6891869158846
"155",12.8253003827113,14.7198137013605
"156",11.8227999683662,13.922144214604
"157",16.3395120677596,18.5138898788257
"158",12.1799030529771,13.5904450544765
"159",11.1916165781918,12.9110668560391
"160",11.4410676291219,13.3982382227441
"161",9.95192351644956,12.2921993822704
"162",9.78591810099604,11.771118918972
"163",11.3751081501496,12.9807817699244
"164",11.0817672714059,12.8554299183542
"165",17.7615956064115,18.6663489080476
"166",16.4828040533696,17.3267173643751
"167",14.5002036850616,15.8950747972113
"168",13.2231975295474,14.4528903922453
"169",11.3392477913469,12.2794617810922
"170",12.1869023789867,13.625105824316
"171",12.3734541021489,14.2145690893731
"172",17.6820520137523,17.9114072165739
"173",12.8395714264589,15.6600839965547
"174",12.4238993132816,14.5576480433958
"175",14.4872404725397,15.7155740404677
"176",11.5289969184679,13.1608944534323
"177",12.0893518379163,14.0091097400146
"178",12.4184960508809,14.1938923937931
"179",11.2902108521853,13.0763901322275
"180",14.0912153420185,15.1560768845875
"181",13.7929044778456,16.1439599213561
"182",15.6728728783446,17.625614926192
"183",12.3996036260734,13.9117465944681
"184",12.840397471868,14.2030167633829
"185",9.7192944550555,11.7845393044205
"186",10.1014113732146,11.9818685197678
