"","voix_expr_2012_PS","voix_expr_2017_PS","voix_expr_2022_PS","voix_expr_2012_LR","voix_expr_2017_LR","voix_expr_2022_LR"
"voix_expr_2012_PS",0,1.14256726957352e-98,2.09577489785231e-27,1.37133066630817e-69,2.18943295451525e-35,1.98233470458031e-10
"voix_expr_2017_PS",8.7889789967194e-100,0,3.42943406555173e-59,1.37513199959044e-16,3.68046415570324e-10,0.00607860406859159
"voix_expr_2022_PS",2.61971862231539e-28,3.42943406555173e-60,0,1.6487331847779e-13,4.98092509141073e-06,0.0066255293415033
"voix_expr_2012_LR",1.24666424209833e-70,1.9644742851292e-17,2.74788864129649e-14,0,8.54831241289388e-226,1.08769287574013e-96
"voix_expr_2017_LR",2.43270328279472e-36,9.2011603892581e-11,1.66030836380358e-06,5.69887494192925e-227,0,2.62138161091942e-146
"voix_expr_2022_LR",3.96466940916061e-11,0.00303930203429579,0.0066255293415033,9.06410729783438e-98,1.87241543637101e-147,0
