"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"voix_expr_2012",1,539,26.9371478731225,5.92447244308774,26.5734715192416,26.5383894536503,4.98504919395893,12.6701837985024,63.1854954180985,50.5153116195961,1.34703591697971,5.38726875380796,0.255185093175613
"voix_expr_2017",2,539,19.7204438994268,5.73739481064171,18.9196047407231,19.3132277385301,4.15296395686844,0.990453132308031,57.0016286644951,56.0111755321871,1.51149744873801,6.94523046026881,0.247127089104295
"voix_expr_2022",3,539,4.78657461537415,1.58786711561295,4.63380079909584,4.64072670557534,1.13375888292132,0.94097079391197,14.1605986376296,13.2196278437176,1.53016077855855,5.06270162073084,0.0683942784341824
