"","voix_expr_2012_PS","voix_expr_2017_PS","voix_expr_2022_PS","voix_expr_2012_LR","voix_expr_2017_LR","voix_expr_2022_LR"
"voix_expr_2012_PS",1,0.753270611503448,0.450579305816781,-0.666935410276436,-0.505723269881945,-0.279474599741932
"voix_expr_2017_PS",0.753270611503448,1,0.626852653016758,-0.354794972412594,-0.274356882229803,-0.127432123870651
"voix_expr_2022_PS",0.450579305816781,0.626852653016758,1,-0.3198643638504,-0.204646067495862,-0.116818296369138
"voix_expr_2012_LR",-0.666935410276436,-0.354794972412594,-0.3198643638504,1,0.92442115829725,0.748260332244768
"voix_expr_2017_LR",-0.505723269881945,-0.274356882229803,-0.204646067495862,0.92442115829725,1,0.844070725224571
"voix_expr_2022_LR",-0.279474599741932,-0.127432123870651,-0.116818296369138,0.748260332244768,0.844070725224571,1
