"","voix_expr_2012_PS","voix_expr_2017_PS","voix_expr_2022_PS","voix_expr_2012_LR","voix_expr_2017_LR","voix_expr_2022_LR"
"voix_expr_2012_PS",1,0.774083755390181,0.466027699803589,-0.683671170394484,-0.502718329643449,-0.279460181053383
"voix_expr_2017_PS",0.774083755390181,1,0.653023521000154,-0.365761553015934,-0.278104541354674,-0.108150390943806
"voix_expr_2022_PS",0.466027699803589,0.653023521000154,1,-0.307800254268656,-0.173308381593034,-0.0703075823097066
"voix_expr_2012_LR",-0.683671170394484,-0.365761553015934,-0.307800254268656,1,0.893973878838456,0.667779149510429
"voix_expr_2017_LR",-0.502718329643449,-0.278104541354674,-0.173308381593034,0.893973878838456,1,0.797488809650254
"voix_expr_2022_LR",-0.279460181053383,-0.108150390943806,-0.0703075823097066,0.667779149510429,0.797488809650254,1
